Date Time	Elapsed	"A1, Image 1"	"A1, Image 2"	"A1, Image 3"	"A1, Image 4"	"A1, Image 5"	"A1, Image 6"	"A1, Image 7"	"A1, Image 8"	"A1, Image 9"	"A1, Image 10"	"A1, Image 11"	"A1, Image 12"	"A1, Image 13"	"A1, Image 14"	"A1, Image 15"	"A1, Image 16"	"B1, Image 1"	"B1, Image 2"	"B1, Image 3"	"B1, Image 4"	"B1, Image 5"	"B1, Image 6"	"B1, Image 7"	"B1, Image 8"	"B1, Image 9"	"B1, Image 10"	"B1, Image 11"	"B1, Image 12"	"B1, Image 13"	"B1, Image 14"	"B1, Image 15"	"B1, Image 16"	"A2, Image 1"	"A2, Image 2"	"A2, Image 3"	"A2, Image 4"	"A2, Image 5"	"A2, Image 6"	"A2, Image 7"	"A2, Image 8"	"A2, Image 9"	"A2, Image 10"	"A2, Image 11"	"A2, Image 12"	"A2, Image 13"	"A2, Image 14"	"A2, Image 15"	"A2, Image 16"	"B2, Image 1"	"B2, Image 2"	"B2, Image 3"	"B2, Image 4"	"B2, Image 5"	"B2, Image 6"	"B2, Image 7"	"B2, Image 8"	"B2, Image 9"	"B2, Image 10"	"B2, Image 11"	"B2, Image 12"	"B2, Image 13"	"B2, Image 14"	"B2, Image 15"	"B2, Image 16"	"A3, Image 1"	"A3, Image 2"	"A3, Image 3"	"A3, Image 4"	"A3, Image 5"	"A3, Image 6"	"A3, Image 7"	"A3, Image 8"	"A3, Image 9"	"A3, Image 10"	"A3, Image 11"	"A3, Image 12"	"A3, Image 13"	"A3, Image 14"	"A3, Image 15"	"A3, Image 16"	"B3, Image 1"	"B3, Image 2"	"B3, Image 3"	"B3, Image 4"	"B3, Image 5"	"B3, Image 6"	"B3, Image 7"	"B3, Image 8"	"B3, Image 9"	"B3, Image 10"	"B3, Image 11"	"B3, Image 12"	"B3, Image 13"	"B3, Image 14"	"B3, Image 15"	"B3, Image 16"
8/16/16 18:00	0	44.74448	45.55212	42.35473	38.28	47.00625	55.20936	49.44085	37.5248	49.0205	50.84888	46.2091	40.06535	52.46467	49.25703	52.46462	45.24431	7.540685	7.804972	6.173809	10.59564	5.404163	6.90795	9.134201	9.387982	4.81156	10.40306	10.97066	7.955557	4.629407	5.95615	5.476417	7.098116	37.78611	30.6998	32.62777	32.06578	37.23586	35.22008	36.17741	28.86115	35.3766	38.08044	30.34835	31.65492	27.99009	28.06835	29.1449	27.80794	6.56768	5.839826	5.244182	2.474718	5.553229	8.79338	7.734234	2.555744	5.495689	8.407242	3.072501	2.139354	3.826467	3.343349	2.057154	3.367663	19.83394	18.41063	16.49605	17.75309	19.07189	17.21375	23.54677	17.96854	19.58941	23.61903	19.67569	18.427	18.60466	17.3079	14.91766	14.28789	2.417247	2.888	3.955017	2.271013	2.409096	3.668421	1.472217	1.857869	1.344219	2.122085	1.331303	0.9031692	0.911113	0.6654785	0.6556007	1.341249
8/16/16 20:00	2	47.51954	48.48468	40.79899	41.70743	49.79484	56.43435	48.97567	39.7608	49.40227	50.87981	49.64301	41.21545	51.08152	48.71947	52.85748	46.78629	7.005001	7.055425	6.386495	10.40465	6.065843	7.56894	9.459687	9.275529	4.140694	11.15833	11.10798	8.090532	4.708222	5.430205	5.65035	7.130375	41.38552	33.85416	36.33656	32.98015	40.15873	36.43811	36.42899	30.71645	32.52446	37.13285	31.22692	31.07012	28.73528	28.60508	28.74371	29.98866	6.404108	6.606778	4.428672	3.18703	5.129932	9.663945	7.3385	2.507322	5.99884	9.126809	3.346112	2.248701	4.121214	2.800066	2.079741	3.197529	21.40494	19.21792	16.6887	18.4125	19.40808	21.03448	24.77426	18.07699	19.96512	24.97299	19.65772	19.33777	19.55218	16.71758	14.56586	15.67183	2.600436	2.733063	3.37395	1.727039	2.829976	3.453733	1.497499	1.870717	1.135541	2.173408	1.726417	0.3327393	0.7243313	0.8315374	0.627763	1.393264
8/16/16 22:00	4	51.91768	48.74807	44.80277	43.47508	51.27356	61.07655	53.42949	40.01595	49.95344	50.40997	50.30622	40.74264	54.39145	48.15995	55.18148	47.5489	7.113106	6.555661	6.33082	10.28874	7.06862	7.061987	10.72019	8.188687	4.48573	10.89564	11.84792	7.95383	5.08144	6.257874	4.854526	6.850337	46.28309	36.06293	35.35105	34.85991	38.47598	36.98545	38.77887	30.80239	32.51028	37.64934	35.52809	33.47024	28.83843	28.08431	28.37361	30.12358	6.596902	6.000703	4.626022	2.496062	5.57188	9.854458	8.131768	2.537853	5.485604	9.15506	4.070306	2.326135	4.040465	2.8431	2.010458	3.117125	22.20333	18.83331	19.00806	19.37258	19.14635	19.70456	26.16393	19.91442	19.37065	25.61692	19.47143	20.17586	20.58369	15.99283	14.01643	15.58383	2.246145	3.043974	3.684931	1.914788	2.506631	3.45173	1.645322	1.075168	1.445623	2.395764	1.542675	1.083527	1.251036	0.758662	0.8760223	1.294001
8/17/16 0:00	6	47.68816	49.53091	41.94525	46.14501	49.15015	61.7532	52.26273	41.707	50.05892	52.77277	50.45149	40.48885	51.74152	47.47616	57.2036	48.72083	7.880679	7.919498	5.929416	10.0402	7.947337	7.335461	11.93074	8.810853	5.187542	11.03807	11.44065	7.706262	5.98599	5.615951	5.284938	6.75605	45.55135	37.65508	33.8199	34.71636	38.22163	38.25584	38.18751	30.23639	32.84931	37.51091	36.57169	31.73837	27.17091	27.78575	28.91613	30.11867	6.508551	6.338833	4.504724	2.883303	6.045051	9.137238	7.172579	2.912384	5.55468	9.022641	3.543048	2.594565	3.142062	2.785837	1.796529	3.148002	22.86624	18.01696	18.85845	20.06693	18.60618	22.33767	29.75712	20.27381	19.45733	24.15823	20.79279	19.04357	19.79794	15.63723	14.09718	16.82395	2.412342	2.69887	3.487165	1.831827	2.377183	3.859348	1.939517	1.372472	1.120482	2.538268	1.050647	1.322322	0.7498894	0.7443632	0.4610134	1.300909
8/17/16 2:00	8	50.58404	50.20951	43.39798	43.43991	49.60248	62.3271	52.04209	41.089	49.20638	50.59951	53.24444	39.78572	50.91601	47.34684	58.00752	48.92835	7.671791	6.997402	6.28143	10.49093	7.05294	7.768499	11.44334	8.611639	5.77524	10.88915	11.747	8.104347	5.942336	5.250331	5.823802	6.606571	45.52434	39.50645	36.80053	36.27231	38.07057	38.09812	38.36599	32.34775	32.10765	38.11581	37.63504	30.83554	28.43328	26.59083	31.83963	31.47021	6.582048	6.171116	4.387641	2.666058	5.504944	10.23499	7.531913	2.843791	5.636397	8.560936	3.609775	2.596706	3.38735	3.132322	2.613975	3.329395	21.80585	18.22426	19.23864	19.47889	19.45306	22.85105	29.95295	18.34577	20.17731	24.42425	19.61407	20.97604	19.65738	15.19701	13.19995	17.45897	2.29664	2.528044	3.632778	1.875207	2.337878	3.589053	1.677028	1.283847	1.446107	2.385403	1.357206	0.6240329	1.020391	0.9415754	0.7389063	1.394369
8/17/16 4:00	10	53.95881	48.33167	44.82248	44.53831	48.32532	61.86055	53.79605	41.08381	49.13945	50.23515	54.43053	39.27344	51.37945	45.45602	57.45316	48.91751	8.324491	6.467519	6.515182	10.10126	6.961137	7.792053	12.64941	8.69087	5.374806	10.77607	11.3342	8.063038	6.862499	5.702573	5.282243	6.926876	48.54491	37.16145	38.13377	36.81851	38.03017	36.48982	40.76114	32.79613	32.02316	37.36047	33.92933	30.22366	27.60775	25.13214	30.66416	30.36788	5.911803	6.663419	4.353518	2.554155	5.180703	10.53078	7.282618	2.839647	5.076743	9.662771	3.482745	2.727813	3.752624	3.465821	2.063232	3.206647	23.41608	18.76768	19.14573	21.80752	19.33894	24.01469	30.1689	19.44925	18.48876	23.69032	19.75195	19.91234	19.79789	14.81723	12.71089	19.08744	2.311491	2.698732	3.68493	1.789138	2.774715	3.973806	2.059502	1.114196	0.9629199	2.448607	0.9654757	0.5925342	1.221472	1.182789	1.198193	1.299182
8/17/16 6:00	12	54.05974	51.47691	43.01661	42.4855	48.71994	63.68853	55.12724	40.86898	47.10592	53.26873	52.653	42.01687	53.301	46.48996	59.34988	48.78481	7.912245	6.689323	6.022946	9.920563	6.977991	8.352881	13.58014	8.054059	5.225118	10.87153	11.60464	8.014064	7.010182	5.515445	5.26843	7.17776	50.0869	38.14861	37.68946	38.99887	39.48131	37.05043	41.07767	31.08539	31.26388	37.5889	37.08404	30.05236	26.7758	24.29486	30.31464	29.90833	5.822834	6.721029	4.244516	2.388166	5.732553	9.37431	7.884477	2.871076	5.053603	9.088613	3.407866	2.271082	3.505471	3.175494	2.319711	3.148831	21.09098	18.23773	17.35722	20.94303	20.75459	25.34628	30.18539	18.9077	20.32589	24.47813	21.20814	20.30413	19.47965	14.68121	14.15451	18.22765	2.426434	2.594911	3.652327	1.782645	2.298988	3.614679	2.005277	1.827269	1.126907	2.604719	0.859375	0.5756797	1.362318	0.7201867	0.6244473	1.435953
8/17/16 8:00	14	54.1386	51.15474	46.09423	41.53121	48.33353	62.67264	52.21548	39.75296	47.59898	52.43409	55.46115	39.81749	50.97533	45.71037	61.66362	48.88255	7.178864	6.841844	5.838929	9.966014	7.320953	7.990301	14.30606	8.590987	5.767365	12.12036	12.12471	7.802898	6.609058	5.442154	5.723779	6.850132	47.17767	40.08902	33.94114	39.00695	37.39203	39.27732	39.67562	31.48996	29.78475	38.93008	33.47445	29.82095	25.42675	24.85473	29.84527	28.69337	5.963058	5.829811	4.528555	2.539718	4.926572	9.304748	7.281167	2.184668	5.615536	9.476266	3.929252	2.230604	4.27477	3.241393	2.161043	3.766855	23.07685	18.34093	17.90858	16.72047	21.57942	24.05497	31.42291	19.56578	19.77426	24.18138	21.04913	20.05333	19.95745	14.63873	13.80243	18.18143	2.140114	2.18674	3.357717	2.038986	2.410823	3.430109	1.852274	1.138995	0.8515003	2.490398	1.122555	1.281982	1.621283	0.5856957	1.033654	1.245372
8/17/16 10:00	16	52.80835	47.78494	43.57296	45.20453	46.38021	60.80847	54.165	38.74088	47.78956	52.53639	50.64551	39.45769	51.41245	43.02325	60.93005	50.64992	7.878398	6.474082	6.053684	9.745386	6.987111	7.58144	15.26857	8.561213	5.902132	12.22162	11.62971	8.183162	6.723721	4.747182	5.162811	7.063921	50.30358	39.3205	38.42009	36.62308	37.33518	37.34788	40.91566	30.58502	29.64032	37.62191	35.55489	28.70144	26.17236	24.66422	32.0155	30.49631	6.399755	5.961331	4.427981	2.663157	4.943703	9.121905	8.187927	2.357634	5.236723	9.201408	3.635126	2.273361	3.30812	3.438605	2.2219	4.038116	21.41246	19.58285	17.96978	20.91595	19.44172	23.32898	30.70284	20.10575	18.58981	23.93097	20.6241	19.51854	20.03294	14.87262	13.7357	19.05075	2.41856	2.414415	3.464853	2.023721	2.331662	4.092963	1.92432	1.608297	1.005816	2.52093	0.9917937	0.7262654	1.518982	0.7258509	0.4954133	1.354028
8/17/16 12:00	18	53.70303	46.38779	44.26228	43.45926	46.22808	62.26631	51.73973	39.77114	46.2194	50.40138	53.64984	38.9613	51.91279	44.95938	61.55355	48.39018	7.156207	6.846953	5.983089	9.953167	7.244143	8.223228	15.49113	8.781845	5.238795	11.32626	11.34753	7.984568	6.633303	4.685841	5.621753	6.773734	48.53857	38.92207	37.39036	40.72309	37.47748	38.44889	42.62535	29.22475	29.29563	39.60135	34.39413	28.12016	25.03344	24.56551	33.09232	29.19015	7.170853	6.369294	4.538847	3.068565	5.597231	8.890639	8.428172	2.43942	5.583415	8.831023	3.352813	2.031457	3.944311	3.223296	2.34444	3.625802	22.86741	19.42853	18.20665	20.28549	18.78889	24.55383	31.43194	19.38066	19.77164	23.34874	20.11038	18.64756	18.53054	14.13676	13.31523	18.27095	2.229982	2.401774	3.449933	2.188467	2.312528	3.768029	2.692722	1.212975	1.103006	2.679666	0.9922081	1.399343	0.9100769	0.7735134	1.034275	1.703415
